n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
10,5,0.050,0.30,3,1,solved,2.328
10,5,0.050,0.30,3,2,solved,4.016
10,5,0.050,0.30,3,3,solved,1.344
10,5,0.050,0.30,3,4,solved,1.125
10,5,0.050,0.30,3,5,solved,1.938
10,5,0.050,0.30,4,1,solved,4.062
10,5,0.050,0.30,4,2,solved,4.594
10,5,0.050,0.30,4,3,solved,0.938
10,5,0.050,0.30,4,4,solved,5.578
10,5,0.050,0.30,4,5,solved,1.609
10,5,0.050,0.50,1,1,solved,0.672
10,5,0.050,0.50,1,2,solved,0.453
10,5,0.050,0.50,1,3,solved,0.453
10,5,0.050,0.50,1,4,solved,0.438
10,5,0.050,0.50,1,5,solved,0.469
10,5,0.050,0.50,2,1,solved,4.359
10,5,0.050,0.50,2,2,solved,2.859
10,5,0.050,0.50,2,3,solved,1.578
10,5,0.050,0.50,2,4,solved,2.906
10,5,0.050,0.50,2,5,solved,3.422
10,5,0.050,0.50,3,1,solved,2.422
10,5,0.050,0.50,3,2,solved,1.219
10,5,0.050,0.50,3,3,solved,4.688
10,5,0.050,0.50,3,4,solved,1.703
10,5,0.050,0.50,3,5,solved,1.016
10,5,0.050,0.50,4,1,solved,3.469
10,5,0.050,0.50,4,2,solved,1.109
10,5,0.050,0.50,4,3,solved,2.359
10,5,0.050,0.50,4,4,solved,5.172
10,5,0.050,0.50,4,5,solved,0.828
10,5,0.050,0.70,1,1,solved,0.703
10,5,0.050,0.70,1,2,solved,0.375
10,5,0.050,0.70,1,3,solved,0.344
10,5,0.050,0.70,1,4,solved,0.328
10,5,0.050,0.70,1,5,solved,0.703
10,5,0.050,0.70,2,1,solved,3.078
10,5,0.050,0.70,2,2,solved,3.906
10,5,0.050,0.70,2,3,solved,2.406
10,5,0.050,0.70,2,4,solved,6.594
10,5,0.050,0.70,2,5,solved,5.125
10,5,0.050,0.70,3,1,solved,4.047
10,5,0.050,0.70,3,2,solved,2.500
10,5,0.050,0.70,3,3,solved,1.984
10,5,0.050,0.70,3,4,solved,3.484
10,5,0.050,0.70,3,5,solved,0.984
10,5,0.050,0.70,4,1,solved,0.500
10,5,0.050,0.70,4,2,solved,1.031
10,5,0.050,0.70,4,3,solved,1.594
10,5,0.050,0.70,4,4,solved,1.172
10,5,0.050,0.70,4,5,solved,0.703
15,3,0.013,0.30,1,1,solved,0.094
15,3,0.013,0.30,1,2,solved,0.484
15,3,0.013,0.30,1,3,solved,0.406
15,3,0.013,0.30,1,4,solved,0.469
15,3,0.013,0.30,1,5,solved,0.453
15,3,0.013,0.30,2,1,solved,3.641
15,3,0.013,0.30,2,2,solved,3.672
15,3,0.013,0.30,2,3,solved,6.094
15,3,0.013,0.30,2,4,solved,5.422
15,3,0.013,0.30,2,5,solved,8.594
15,3,0.013,0.30,3,1,solved,1.688
15,3,0.013,0.30,3,2,solved,0.422
15,3,0.013,0.30,3,3,solved,1.422
15,3,0.013,0.30,3,4,solved,1.531
15,3,0.013,0.30,3,5,solved,1.406
15,3,0.013,0.30,4,1,solved,7.359
15,3,0.013,0.30,4,2,solved,5.266
15,3,0.013,0.30,4,3,solved,4.172
15,3,0.013,0.30,4,4,solved,1.938
15,3,0.013,0.30,4,5,solved,2.453
15,3,0.013,0.50,1,1,solved,0.609
15,3,0.013,0.50,1,2,solved,1.297
15,3,0.013,0.50,1,3,solved,0.312
15,3,0.013,0.50,1,4,solved,0.359
15,3,0.013,0.50,1,5,solved,0.453
15,3,0.013,0.50,2,1,solved,6.719
15,3,0.013,0.50,2,2,solved,2.453
15,3,0.013,0.50,2,3,solved,19.438
15,3,0.013,0.50,2,4,solved,7.828
15,3,0.013,0.50,2,5,solved,6.500
15,3,0.013,0.50,3,1,solved,1.016
15,3,0.013,0.50,3,2,solved,2.844
15,3,0.013,0.50,3,3,solved,4.781
